numberOneAfterAnother,identifierForm,perelikDodatkiv,nameForm,documetRegulates,typePayer,termPresentation,accountingPeriod
43,J0209903,NULL,Заявка на поповнення (коригування) залишку спирту етилового,"Наказ Міністерства фінансів України від 2020-11-27 № 729, зареєстрований у Міністерстві юстиції України 2020-12-14 за № 1241/35524 (зі змінами внесеними наказом Міністерства фінансів України від 2023-02-01 № 55, зареєстрованим у Міністерстві юстиції України 2023-03-21 за № 480/39536)",Ю,місяць без терміна подання,місяць
44,J0210904,NULL,Заявка на поповнення (коригування) залишку пального,"Наказ Міністерства фінансів України від 2020-11-27 № 729, зареєстрований у Міністерстві юстиції України 2020-12-14 за № 1241/35524 (зі змінами внесеними наказом Міністерства фінансів України від 2023-02-01 № 55, зареєстрованим у Міністерстві юстиції України 2023-03-21 за № 480/39536)",Ю,місяць без терміна подання,місяць
45,J0210301,NULL,"Довідка про розпорядника акцизного складу пального, акцизні склади пального, розташовані на них резервуари пального, витратоміри та рівнеміри","Наказ Мiнiстерства фiнансiв України вiд 2019-06-18 № 248, зареєстрований в Міністерстві юстиції України 27 червня 2019 р. за № 676/33647",Ю,відповідно до вимог наказу Міністерства фінансів України від 27 листопада 2018 року № 944 ( у редакції наказу Міністерства фінансів України від 18 червня 2019 року № 248),місяць
46,J0210401,NULL,Довідка про зведені за добу підсумкові облікові дані щодо обсягів обігу (отримання/відпуску) та залишків пального на акцизному складі пального,"Наказ Мiнiстерства фiнансiв України вiд 2019-06-18 № 248, зареєстрований в Міністерстві юстиції України 27 червня 2019 р. за № 676/33647",Ю,відповідно до вимог наказу Міністерства фінансів України від 27 листопада 2018 року № 944 ( у редакції наказу Міністерства фінансів України від 18 червня 2019 року № 248),місяць
47,J0210501,NULL,Акт інвентаризації обсягів залишку спирту етилового станом на початок дня 01 липня 2019 року,"Наказ Міністерства фінансів України від 2019-07-09 № 291 ""Про затвердження форми акта проведення інвентаризації обсягів залишку спирту етилового, Порядку його заповнення та подання""",Ю,до 2019-07-22 включно,місяць
48,J0210602,NULL,Довідка про витратоміри-лічильники обсягу виробленого спирту етилового та/або обсягу виробленої продукції,"Наказ Міністерства фінансів України від 2021-01-27 № 43, зареєстрований в Міністерстві юстиції України 2021-04-01 за № 425/36047",Ю,NULL,NULL
49,J0210702,NULL,Довідка про зведені за добу підсумкові облікові дані щодо обсягів обігу (отримання/відпуску) та залишків спирту на акцизному складі виробника спирту та/або виробника окремих видів продукції,"Наказ Міністерства фінансів України від 2021-01-27 № 43, зареєстрований в Міністерстві юстиції України 2021-04-01 за № 425/36047",Ю,NULL,NULL
50,J0211001,NULL,"Звіт про обсяги імпорту неферментованої (непереробленої) тютюнової сировини, обсяги придбаної тютюнової сировини в осіб, які виробляють тютюнову сировину на митній території України, обсяги виробництва, реалізації виробникам тютюнових виробів та експорту ферментованої (переробленої) тютюнової сировини","Наказ Міністерства фінансів України від 2022-09-07 № 271, зареєстрованого у Міністерстві юстиції України 2022-09-29 за № 1144/38480",Ю,"щомісячно протягом 20 днів, наступних за звітним місяцем",місяць
51,J0301209,J0311209,Податкова декларація збору за місця для паркування транспортних засобів,"Наказ Міністерства фінансів України від 2015-07-09 № 636, зареєстрованого в Міністерстві юстиції України 2015-07-29 за № 912/27357 (у редакції наказу Міністерства фінансів України від 2023-10-06 № 528, зареєстрованого у Міністерстві юстиції 2023-10-20 за № 1841/40897)",Ю,"протягом 40 календарних днів, що настають за останнім календарним днем звітного (податкового) кварталу","квартал, півріччя. 9-місяців, рік"
52,J0302108,"J0312108, J0312208","Податкова декларація з податку на нерухоме майно, відмінне від земельної ділянки","Наказ Міністерства фінансів України від 2015-04-10 № 408, зареєстрованим в Міністерстві юстиції України 2015-04-29 за № 479/26924 (у редакції наказу Міністерства фінансів України від 2022-11-10 № 371) зі змінами, внесеними наказами Міністерства фінансів України від 2022-12-05 № 412, від 2023-09-26 № 519, від 2024-09-09 № 431",Ю,щорічно в термін до 20 лютого,рік
53,J0303311,NULL,Розрахунок частки сiльськогосподарського товаровиробництва,"Наказ Міністерства аграрної політики та продовольства України від 2011-12-26 № 772 (із змінами і доповненнями, внесеними наказами Міністерства економіки, довкілля та сільського господарства України від 2026-01-20 № 829 та від 2026-01-29 року № 1370)",Ю,не пізніше 20 лютого поточного року,рік
54,J0303507,J0313507,Податкова декларація з туристичного збору,"Наказ Міністерства фінансів України від 2015-07-09 № 636, зареєстрований в Міністерстві юстиції України 2015-07-29 за № 912/27357 (у редакції наказу Міністерства фінансів України від 2023-09-20 № 506, зареєстрованого в Міністерстві юстиції України 2023-10-04 за №1742/40798)",Ю,щоквартально протягом 40 днів після звітного кварталу,"1-й, 2-й, 3-й та 4-й квартал"
55,J0303604,NULL,Податкова декларація з транспортного податку,"Наказ Мiнiстерства фiнансiв України від 2015-04-10 № 415 (у редакції наказу Мiнiстерства фiнансiв України від 2022-11-30 № 401, зі змінами, внесеними наказом Мінфіну від 2023-10-06 № 527)",Ю,щорічно в термін до 20 лютого,рік
56,J0600502,NULL,Звiт про використання води. Форма N 2-ТП (Водгосп),"Наказ Міністерства екології та природних ресурсів України від 2015-03-16 № 78, який зареєстровано в Міністерстві юстиції України 03 квітня 2015 р. за N 382/26827",Ю,в термін до 40 днів після ІV кварталу,рік
57,J0602008,NULL,Податкова декларація з плати за землю (земельний податок та/або орендна плата за земельні ділянки державної або комунальної власності),"наказ Мiнiстерства фiнансiв України вiд 2015-06-16 № 560 зі змінами, внесеними наказом Мiнiстерства фiнансiв України вiд 2023-09-26 № 520, зареєстрованим в Мiнiстерствi юстицiї України 2023-10-10 за № 1771/40727",Ю,"не пізніше 20 лютого, в терміни подання місячної звітності","рік, місяць"
58,J0601901,NULL,"Податкова декларація з орендної плати за земельні ділянки сільськогосподарського призначення державної власності, передані в оренду відповідно до статті 120-1 глави 19 розділу IV Земельного кодексу України","Наказ Мiнiстерства фiнансiв України вiд 2025-03-14 № 154, зареєстрований у Міністерстві юстиції України 2025-03-26 за № 473/43879 (зі змінами, внесеними наказом Мiнiстерства фiнансiв України вiд 2025-04-01 № 177, зареєстрованим в Мiнiстерствi юстицiї України 2025-04-02 за № 504/43910",Ю,"не пізніше 20 лютого, в терміни подання місячної звітності","рік, місяць"
59,J0800108,"J0810108, J0810208, J0810308, J0810508, J0810608, J0810708, J0810808, J0810908",Податкова декларація з рентної плати (квартальна),"Наказ Міністерства фінансів України від 2023-09-07 № 487, зареєстрованого в Міністерстві юстиції України 2023-09-21 за № 1665/40721",Ю,щоквартально протягом 40 днів після звітного кварталу,"1-й, 2-й, 3-й та 4-й квартал"
60,J0800207,"J0820207, J0820407, J0821007, J0821107",Податкова декларація з рентної плати (місячна),"Наказ Міністерства фінансів України від 2023-09-07 № 487, зареєстрованого в Міністерстві юстиції України 2023-09-21 за № 1665/40721",Ю,"щомісячно до 20 числа місяця, наступного за звітним",місяць
61,J0803501,J0813501,"Розрахунок збору на соцiально-економiчну компенсацiю ризику населення, яке проживає на територiї зони спостереження",Постанова Кабiнету Мiнiстрiв України вiд 19 травня 2010 року № 352,Ю,щомісячно до 20 числа місяця наступного за звітним,місяць
