numberOneAfterAnother,identifierForm,perelikDodatkiv,nameForm,documetRegulates,typePayer,termPresentation,accountingPeriod
136,J0901602,NULL,Звіт про рух грошових коштів (за непрямим методом),"Наказ Міністерства фінансів України від 2013-02-07 №73, зареєстрований у Міністерстві юстиції України 2013-02-28 №336/22868, iз змiнами вiд 2013-06-27 № 627",Ю,у терміни подання декларації з податку на прибуток,"І квартал, півріччя, три квартали, рік"
137,J0901005,NULL,Звіт про власний капітал,"Наказ Міністерства фінансів України від 2013-02-07 №73, зареєстрований у Міністерстві юстиції України 2013-02-28 №336/22868, iз змiнами вiд 2013-06-27 № 627",Ю,у терміни подання декларації з податку на прибуток,"І квартал, півріччя, три квартали, рік"
138,J0901703,NULL,Консолідований баланс (Звіт про фінансовий стан),"Наказ Міністерства фінансів України від 2013-02-07 №73, зареєстрований у Міністерстві юстиції України 2013-02-28 №336/22868, iз змiнами вiд 2021-07-09 № 385",Ю,у терміни подання декларації з податку на прибуток,"І квартал, півріччя, три квартали, рік"
139,J0901801,NULL,Консолідований звіт про фінансові результати (Звіт про сукупний дохід),"Наказ Міністерства фінансів України від 2013-02-07 №73, зареєстрований у Міністерстві юстиції України 2013-02-28 №336/22868, iз змiнами вiд 2013-06-27 № 627",Ю,у терміни подання декларації з податку на прибуток,"І квартал, півріччя, три квартали, рік"
140,J0901902,NULL,Консолідований звіт про рух грошових коштів (за прямим методом),"Наказ Міністерства фінансів України від 2013-02-07 №73, зареєстрований у Міністерстві юстиції України 2013-02-28 №336/22868, iз змiнами вiд 2013-06-27 № 627",Ю,у терміни подання декларації з податку на прибуток,"І квартал, півріччя, три квартали, рік"
141,J0902002,NULL,Консолідований звіт про рух грошових коштів (за непрямим методом),"Наказ Міністерства фінансів України від 2013-02-07 №73, зареєстрований у Міністерстві юстиції України 2013-02-28 №336/22868, iз змiнами вiд 2013-06-27 № 627",Ю,у терміни подання декларації з податку на прибуток,"І квартал, півріччя, три квартали, рік"
142,J0902102,NULL,Консолідований звіт про власний капітал,"Наказ Міністерства фінансів України від 2013-02-07 №73, зареєстрований у Міністерстві юстиції України 2013-02-28 №336/22868, iз змiнами вiд 2013-06-27 № 627",Ю,у терміни подання декларації з податку на прибуток,"І квартал, півріччя, три квартали, рік"
143,J0902203,NULL,Звіт про фінансовий стан (Баланс),"Постанова Правління НБУ від 2011-10-24 № 373, зареєстрована у Міністерстві юстиції України 2011-11-10 за № 1288/20026 (у редакції постанови Правління Національного банку України від 04 квітня 2018 року № 34)",Ю,у терміни подання декларації з податку на прибуток,"І квартал, півріччя, три квартали, рік"
144,J0902303,NULL,Звіт про прибутки і збитки та інший сукупний дохід (Звіт про фінансові результати),"Постанова Правління НБУ від 2011-10-24 № 373, зареєстрована у Міністерстві юстиції України 2011-11-10 за № 1288/20026 (у редакції постанови Правління Національного банку України від 04 квітня 2018 року № 34)",Ю,у терміни подання декларації з податку на прибуток,рік
145,J0902402,NULL,Звіт про прибутки і збитки/Проміжний скорочений звіт про прибутки і збитки,"Постанова Правління НБУ від 2011-10-24 № 373, зареєстрована у Міністерстві юстиції України 2011-11-10 за № 1288/20026, iз змiнами і доповненнями, внесеними постановою Правління НБУ вiд 2017-03-31 № 28",Ю,у терміни подання декларації з податку на прибуток,"І квартал, півріччя, три квартали, рік"
146,J0902502,NULL,Звіт про сукупний дохід/Проміжний скорочений звіт про сукупний дохід,"Постанова Правління НБУ від 2011-10-24 № 373, зареєстрована у Міністерстві юстиції України 2011-11-10 за № 1288/20026, iз змiнами і доповненнями, внесеними постановою Правління НБУ вiд 2017-03-31 № 28",Ю,у терміни подання декларації з податку на прибуток,"І квартал, півріччя, три квартали, рік"
147,J0902603,NULL,Звіт про зміни у власному капіталі (Звіт про власний капітал),"Постанова Правління НБУ від 2011-10-24 № 373, зареєстрована у Міністерстві юстиції України 2011-11-10 за № 1288/20026 (у редакції постанови Правління Національного банку України від 04 квітня 2018 року № 34)",Ю,у терміни подання декларації з податку на прибуток,"І квартал, півріччя, три квартали, рік"
148,J0902703,NULL,Звіт про рух грошових коштів за прямим методом,"Постанова Правління НБУ від 2011-10-24 № 373, зареєстрована у Міністерстві юстиції України 2011-11-10 за № 1288/20026 (у редакції постанови Правління Національного банку України від 04 квітня 2018 року № 34)",Ю,у терміни подання декларації з податку на прибуток,"І квартал, півріччя, три квартали, рік"
149,J0902803,NULL,Звіт про рух грошових коштів за непрямим методом,"Постанова Правління НБУ від 2011-10-24 № 373, зареєстрована у Міністерстві юстиції України 2011-11-10 за № 1288/20026 (у редакції постанови Правління Національного банку України від 04 квітня 2018 року № 34)",Ю,у терміни подання декларації з податку на прибуток,"І квартал, півріччя, три квартали, рік"
150,J0903203,NULL,Баланс (форма № 1-дс) Додаток 1 до Національного положення (стандарту) бухгалтерського обліку в державному секторі 101 «Подання фінансової звітності»,"Наказ Мiнiстерства фiнансiв України вiд 2009-12-28 № 1541, зареєстрований в Мiнiстерствi юстицiї України 2010-01-28 за № 103/17398 із змінами від 2015-12-29 № 1219, від 2016-12-23 № 1135, від 2017-02-28 №307, вiд 2017-11-29 № 976 (у редакції наказу Міністерства фінансів України від 2018-11-27 № 940)",Ю,у терміни подання декларації з податку на прибуток,"квартал, півріччя, 9-місяців, рік"
151,J0903303,NULL,Звіт про фінансові результати (форма № 2-дс) Додаток 2 до Національного положення (стандарту) бухгалтерського обліку в державному секторі 101 «Подання фінансової звітності»,"Наказ Мiнiстерства фiнансiв України вiд 2009-12-28 № 1541, зареєстрований в Мiнiстерствi юстицiї України 2010-01-28 за № 103/17398 із змінами від 2015-12-29 № 1219, від 2016-12-23 № 1135, від 2017-02-28 №307, вiд 2017-11-29 № 976 (у редакції наказу Міністерства фінансів України від 2018-11-27 № 940)",Ю,у терміни подання декларації з податку на прибуток,"квартал, півріччя. 9-місяців, рік"
152,J0903403,NULL,Звіт про рух грошових коштів (форма № 3-дс) Додаток 3 до Національного положення (стандарту) бухгалтерського обліку в державному секторі 101 «Подання фінансової звітності»,"Наказ Мiнiстерства фiнансiв України вiд 2009-12-28 № 1541, зареєстрований в Мiнiстерствi юстицiї України 2010-01-28 за № 103/17398 із змінами від 2015-12-29 № 1219, від 2016-12-23 № 1135, від 2017-02-28 №307, вiд 2017-11-29 № 976 (у редакції наказу Міністерства фінансів України від 2018-11-27 № 940)",Ю,у терміни подання декларації з податку на прибуток,"квартал, півріччя. 9-місяців, рік"
153,J0903502,NULL,Звіт про власний капітал (форма № 4-дс) Додаток 4 до Національного положення (стандарту) бухгалтерського обліку в державному секторі 101 «Подання фінансової звітності» (наказ Міністерства фінансів України від 2017-11-29 № 976),"Наказ Мiнiстерства фiнансiв України вiд 2009-12-28 № 1541, зареєстрований в Мiнiстерствi юстицiї України 2010-01-28 за № 103/17398 із змінами від 2015-12-29 № 1219, від 2016-12-23 № 1135, від 2017-02-28 №307, вiд 2017-11-29 № 976",Ю,у терміни подання декларації з податку на прибуток,"квартал, півріччя. 9-місяців, рік"
154,J0903603,NULL,Примітки до річної фінансової звітності (форма № 5-дс),"Наказ Міністерства фінансів України від 2017-11-29 № 977, зареєстрований в Міністерстві юстиції України 2017-12-20 за № 1539/31407 (у редакції наказу Міністерства фінансів України від 20 листопада 2025 року № 586)",Ю,у терміни подання декларації з податку на прибуток,рік
155,J0903701,NULL,Проміжний скорочений звіт про прибутки і збитки та інший сукупний дохід (Звіт про фінансові результати),"Постанова Правління НБУ від 2011-10-24 № 373, зареєстрована у Міністерстві юстиції України 2011-11-10 за № 1288/20026 (у редакції постанови Правління Національного банку України від 04 квітня 2018 року № 34)",Ю,у терміни подання декларації з податку на прибуток,"І квартал, півріччя, три квартали, рік"
156,J0901107,NULL,Фінансова звітність малого підприємства,"Наказ Міністерства фінансів України від 2000-02-25 № 39, зареєстрований в Мiнiстерствi юстицiї України 2000-03-15 за № 161/4382 (із змінами і доповненнями, внесеними наказом Міністерства фінансів України від 2020-09-29 № 588)",Ю,у терміни подання декларації з податку на прибуток,"І квартал, півріччя, три квартали, рік"
157,J0901205,NULL,Фінансова звітність мікропідприємства,"Наказ Міністерства фінансів України від 2000-02-25 № 39, зареєстрований в Мiнiстерствi юстицiї України 2000-03-15 за № 161/4382 (із змінами і доповненнями, внесеними наказом Міністерства фінансів України від 2020-09-29 № 588)",Ю,у терміни подання декларації з податку на прибуток,"І квартал, півріччя, три квартали, рік"
158,J0901301,NULL,Примітки до річної фінансової звітності,"Наказ Міністерства фінансів України від 2000-11-29 № 302, зареєстрований в Мiнiстерствi юстицiї України 2000-12-11 за № 904/5125, із змінами від 9.12.2011 № 1591 (у редакції наказу Міністерства фінансів України від 2003-10-28 № 602 (із змінами, внесеними наказом Міністерства фінансів України від 2014-02-08 № 48)",Ю,у терміни подання декларації з податку на прибуток,рік
