КОД КП ;КОД ЗКППТР ;ВИПУСК ЄТКД ;ВИПУСК ДКХП ;ПРОФЕСІЙНА НАЗВА РОБОТИ ;
8264 ;12851 ;66 ;;Комплектувальник виробів ;
9322 ;12855 ;48 ;;Комплектувальник виробів, напівфабрикатів та матеріалів ;
7321 ;12843 ;45 ;;Комплектувальник гіпсових форм ;
9322 ;12845 ;;60 ;Комплектувальник деталей іграшок ;
7312 ;12849 ;;59 ;Комплектувальник деталей музичних інструментів ;
8143 ;12847 ;;17 ;Комплектувальник деталей та виробів з паперу ;
7332 ;12859 ;60 ;;Комплектувальник кісток ;
7436 ;12861 ;;13 ;Комплектувальник матеріалів, крою та виробів ;
7422 ;12863 ;;57 ;Комплектувальник меблів ;
7242 ;12865 ;20 ;;Комплектувальник мікромодулів ;
7211 ;12867 ;;42 ;Комплектувальник моделей ;
8221 ;12871 ;;25 ;Комплектувальник напівфабрикатів медичних виробів ;
8229 ;12857 ;;61 ;Комплектувальник олівців та стрижнів ;
7124 ;12869 ;;35 ;Комплектувальник панелей ;
9322 ;12876 ;20 ;;Комплектувальник п'єзотехнічних виробів ;
9321 ;12873 ;;45 ;Комплектувальник проводів ;
7432 ;12875 ;47 ;;Комплектувальник пряжі, тканини й виробів ;
9322 ;12878 ;44 ;;Комплектувальник скла та скловиробів ;
8229;;;;Комплектувальник спеціальних виробів (спеціальні хімічні виробництва);
7332 ;12880 ;60 ;;Комплектувальник сухих зоопрепаратів ;
5220 ;12882 ;;65 ;Комплектувальник товарів ;
9321 ;12884 ;;53 ;Комплектувальник туб ;
7324 ;12886 ;45 ;;Комплектувальник фарфорових та фаянсових виробів ;
8224 ;12887 ;34 ;;Комплектувальник фільмокопій ;
8122 ;12891 ;;41 ;Комплектувальник форм сухозлітних металів ;
9322 ;12889 ;59 ;;Комплектувальник форм ;
9322 ;12893 ;59 ;;Комплектувальник шрифтової продукції ;
8232 ;12837  ;24 ;;Комплектувальник ;
2453.2 ;;;;Композитор ;
8121 ;12895 ;;41 ;Конвертерник ;
8121 ;12899 ;;41 ;Конденсаторник ;
7412 ;;;67 ;Кондитер судновий ;
7412 ;12901 ;;65, 11 ;Кондитер ;
8273 ;12903 ;;7 ;Кондиційник зерна та насіння ;
5112 ;;;;Кондуктор громадського транспорту ;
9321 ;12911 ;;45 ;Конопатник електрощіткового виробництва ;
9322 ;12916 ;;1 ;Консервувальник устаткування та металовиробів ;
7434 ;12913 ;;2 ;Консервувальник шкіряної та хутряної сировини ;
7434 ;12914 ;48 ;;Консервувальник шкіряно-хутряної сировини ;
2149.2 ;23048 ;- ;;Конструктор (інші галузі інженерної справи) ;
2149.2 ;23051 ;;;Конструктор взуття ;
2149.2 ;23054 ;- ;;Конструктор одягу ;
2132.2;;;;Конструктор систем кібербезпеки;
3439 ;23057 ;- ;;Консул ;
3439 ;;;;Консульський агент;
2419.3 ;;;;Консультант (в апараті органів державної влади, місцевого самоврядування);
2149.2 ;- ;- ;;Консультант (у певній галузі інженерної справи) ;
3432;;;;Консультант державного нотаріального архіву;
3432;;;;Консультант державної нотаріальної контори;
2441.2 ;23068 ;- ;;Консультант з економічних питань ;
2419.2 ;- ;- ;;Консультант з ефективності підприємництва ;
2419.2 ;- ;- ;;Консультант з маркетингу ;
2351.2 ;;;;Консультант з питань здорового способу життя ;
2443.2 ;- ;- ;;Консультант з питань історії ;
2411.2 ;;;5* ;Консультант з податків і зборів ;
2419.2 ;- ;- ;;Консультант з раціоналізації виробництва ;
2149.2 ;;;;Консультант із енергозбереження в будівлях ;
2149.2 ;;;;Консультант із енергозбереження та енергоефективності ;
2419.2 ;;;;Консультант із зовнішньоекономічних питань ;
2443.2 ;- ;- ;;Консультант із суспільно-політичних питань (в партіях та інших громадських організаціях) ;
2111.2 ;23064 ;- ;;Консультант науковий (у планетаріях) ;
2429;;;;Консультант науковий (правознавство);
1229.1 ;;;;Консультант Президента України ;
2429;;;;Консультант суду;
2351.2;;;;Консультант центру професійного розвитку;
2419.2 ;;;;Консультант ;
5121 ;;;;Консьєрж готельного комплексу ;
9141 ;- ;;5* ;Консьєрж ;
8229 ;12920 ;24 ;;Контролер (хімічне виробництво) ;
8139 ;12922 ;;37 ;Контролер абразивних матеріалів та виробів ;
9152 ;12924 ;;66 ;Контролер автоматичних пропускних пунктів метрополітену ;
8212 ;;;35 ;Контролер волокнистоцементних виробів;
8212 ;12928 ;;35 ;Контролер бетонних та залізобетонних виробів і конструкцій ;
7214 ;12983 ;;40 ;Контролер брухту та відходів металу ;
7241 ;12930 ;;45 ;Контролер в акумуляторному й елементному виробництві ;
7223 ;13063 ;;42 ;Контролер верстатних і слюсарних робіт (слюсарні роботи) ;
8211 ;13063 ;;42 ;Контролер верстатних та слюсарних робіт (верстатні роботи) ;
7311 ;12959 ;;42 ;Контролер вимірювальних приладів та спеціального інструменту ;
7432 ;12957 ;47 ;;Контролер вимірювань продукції ;
8212 ;12953 ;;35 ;Контролер виробів з каменю ;
7113 ;12955 ;43 ;;Контролер виробів із слюди ;
8229;;;;Контролер виробів капсульного виробництва (спеціальні хімічні виробництва);
7442 ;12958 ;48 ;;Контролер виробів, напівфабрикатів та матеріалів ;
8229;;;;Контролер виробництва пороху та вибухових речовин (спеціальні хімічні виробництва);
8232 ;13043 ;29 ;;Контролер виробництва скловолокна та склопластиків ;
7136 ;12938 ;;87 ;Контролер водопровідного господарства ;
9311 ;13081 ;;5 ;Контролер вуглеприймання ;
7136 ;12946 ;;63 ;Контролер газового господарства ;
7311 ;13089 ;;50 ;Контролер годинникового та каменевого виробництва ;
7311 ;12951 ;;51 ;Контролер голково-платинних виробів ;
7422 ;12948 ;;16 ;Контролер деревообробного виробництва ;
7311 ;12950 ;20 ;;Контролер деталей та приладів ;
8151 ;13093 ;;43 ;Контролер електродного виробництва ;
7241 ;13095 ;;42 ;Контролер електромонтажних робіт ;
8223 ;13097 ;;42 ;Контролер емалевого покриття ;
9153 ;13098 ;;62 ;Контролер енергонагляду ;
8112 ;13015 ;;5 ;Контролер з дорогоцінної продукції ;
7243 ;- ;;1 ;Контролер з неруйнівного контролю ;
8123 ;13026 ;;42 ;Контролер з термооброблення ;
8155 ;13018 ;;21 ;Контролер з якості нафти й нафтопродуктів ;
7212 ;13057 ;;42 ;Контролер зварювальних робіт ;
8232 ;13016 ;27 ;;Контролер із звучання ;
7241 ;12961 ;;45 ;Контролер кабельних виробів ;
4211 ;23073 ;;84, 67 ;Контролер квитків ;
7221 ;12981 ;;42 ;Контролер ковальсько-пресових робіт ;
7214 ;12978 ;;42 ;Контролер котельних, холодноштампувальних і давильних робіт (котельні роботи) ;
7221 ;12978 ;2 ;;Контролер котельних, холодноштампувальних і давильних робіт (холодноштампувальні та давильні роботи) ;
6141 ;- ;;3 ;Контролер лісозаготівельного виробництва ;
4211 ;23076 ;- ;;Контролер ломбарду ;
7141 ;12985 ;;42 ;Контролер малярних робіт ;
7432 ;12989 ;;14 ;Контролер матеріалів та виробів ;
7435 ;12987 ;;13 ;Контролер матеріалів, виробів та лекал ;
7233 ;12991 ;;42 ;Контролер матеріалів, металів, напівфабрикатів та виробів  ;
7311 ;12993 ;;48 ;Контролер медичного устаткування та виробів ;
7324 ;12999 ;65 ;;Контролер монетно-орденського виробництва ;
7312 ;13001 ;;59 ;Контролер музичних інструментів ;
5169 ;13005 ;75 ;;Контролер на контрольно-пропускному пункті ;
7332 ;13003 ;60 ;;Контролер наочного приладдя ;
7311 ;13007 ;;49 ;Контролер оптичних деталей та приладів ;
4211 ;23079 ;;67 ;Контролер пасажирського транспорту ;
4211 ;23083 ;- ;;Контролер перонний (квитковий) ;
8155 ;13009 ;;63 ;Контролер пічного господарства ;
8224 ;13013 ;34 ;;Контролер плівки, розчинів і фільмових матеріалів ;
8229 ;12980 ;43 ;;Контролер покрівельних та гідроізоляційних матеріалів ;
8232 ;13022 ;27 ;;Контролер полімерних будівельних матеріалів ;
9311 ;13040 ;;5 ;Контролер продукції збагачення ;
8121 ;13041 ;;41 ;Контролер продукції кольорової металургії (плавка руд кольорових металів) ;
8123 ;13041 ;;41 ;Контролер продукції кольорової металургії (термічне оброблення) ;
8124 ;13041 ;;41 ;Контролер продукції кольорової металургії (трубне виробництво) ;
8221 ;13038 ;;25 ;Контролер продукції медичного призначення ;
7242 ;13047 ;;47 ;Контролер радіоелектронної апаратури та приладів ;
4190 ;23091 ;- ;;Контролер регламентного бюро ;
7311 ;13049 ;20 ;;Контролер режимів роботи технологічного устаткування ;
7432 ;13051 ;;52 ;Контролер ремізо-бердного виробництва ;
4215 ;23094 ;;65  ;Контролер ринку ;
8223 ;13045 ;;42 ;Контролер робіт на металопокриттях ;
8224 ;13059 ;34 ;;Контролер світлочутливих виробів ;
7441 ;13074 ;48 ;;Контролер сировини та напівфабрикатів ;
7432 ;13061 ;47 ;;Контролер сітковиробів ;
7232 ;13055 ;;55 ;Контролер складально-монтажних та ремонтних робіт ;
7241 ;13053 ;;45 ;Контролер складання електричних машин, апаратів та приладів ;
7322 ;13065 ;44 ;;Контролер скляного виробництва ;
8211;;;;Контролер спеціальних виробів;
8223;;;;Контролер спеціальних теплозахисних покриттів;
9322 ;13066 ;;35 ;Контролер стінових та в'яжучих матеріалів ;
8261 ;12976 ;;12 ;Контролер стосів ;
7411 ;13068 ;;8 ;Контролер струн та зшивок ;
7214 ;13070 ;;56 ;Контролер суднокорпусних, судномонтажних і трубопровідних робіт ;
9311 ;13072 ;;5 ;Контролер суспензії ;
7136 ;;;;Контролер теплового господарства ;
8212 ;13076 ;;36 ;Контролер теплоізоляційних виробів ;
4142 ;23097 ;;70 ;Контролер технічний поштових вагонів ;
8331 ;13078 ;;2 ;Контролер технічного стану автомототранспортних засобів (сільсько- та лісогосподарські установки) ;
8332 ;13078 ;- ;;Контролер технічного стану автомототранспортних засобів (установки для виконання земляних та подібних робіт) ;
8321;;;;Контролер технічного стану колісних транспортних засобів;
8261 ;13080 ;47 ;;Контролер технологічного процесу (виробництво пряжі) ;
8262 ;13080 ;47 ;;Контролер технологічного процесу (виробництво тканин) ;
8154 ;13080 ;48 ;;Контролер технологічного процесу (дубильно-екстрактне виробництво) ;
4212;;;;Контролер у банку;
7313 ;12940 ;;38 ;Контролер у виробництві алмазів, надтвердих матеріалів та виробів з них ;
8232 ;12944 ;;45 ;Контролер у виробництві електроізоляційних матеріалів ;
8121 ;12942 ;;40 ;Контролер у виробництві чорних металів ;
8122 ;12936 ;;42 ;Контролер у ливарному виробництві ;
7341 ;;;;Контролер у поліграфічному виробництві ;
4131 ;23103 ;;82 ;Контролер фільмів кінопрокату ;
8272 ;13011 ;;7 ;Контролер харчової продукції (виробництво молочних продуктів) ;
8271 ;13011 ;;7 ;Контролер харчової продукції (виробництво м'ясних та рибних продуктів) ;
8275 ;13011 ;;7 ;Контролер харчової продукції (виробництво фруктових та овочевих консервів) ;
8274 ;13011 ;;7 ;Контролер харчової продукції (хлібопекарне та кондитерське виробництва) ;
8270 ;;;;Контролер харчової продукції ;
7324 ;13083 ;65 ;;Контролер художніх виробів ;
7434 ;12995 ;48 ;;Контролер хутряної сировини та напівфабрикатів у кушнірському виробництві ;
7434 ;12997 ;48 ;;Контролер хутряної сировини та напівфабрикатів у сирицефарбувальному виробництві ;
8142 ;13085 ;;17 ;Контролер целюлозно-паперового виробництва ;
8139 ;13087 ;;37 ;Контролер цехів плавлення, дроблення, регенерації та розсівання ;
8231 ;13091 ;33 ;;Контролер шинного виробництва ;
8264 ;12970 ;66 ;;Контролер якості оброблення виробів ;
8264 ;12972 ;66 ;;Контролер якості оброблення одягу та білизни ;
8159 ;12974 ;24 ;;Контролер якості продукції та технологічного процесу (хімічне виробництво) ;
7432 ;12968 ;47 ;;Контролер якості ;
8275 ;12932 ;;9 ;Контролер-вагар ;
8224 ;12934 ;34 ;;Контролер-візитажник ;
4211 ;12965 ;;65 ;Контролер-касир ;
7311;;;;Контролер-приймальник боєприпасів-зарядів;
7311;;;;Контролер-приймальник боєприпасів-порохів;
7311 ;13034 ;20 ;;Контролер-приймальник мікроелементів ;
7321 ;13036 ;45 ;;Контролер-приймальник фарфорових, фаянсових та керамічних виробів ;
8152 ;13028 ;26 ;;Контролер-приймальник ;
4211 ;23085 ;- ;;Контролер-ревізор ;
8232 ;13102 ;29 ;;Контурувальник склопластикових виробів ;
7324 ;13100 ;;82 ;Контурувальник ;
3119 ;23106 ;- ;;Конфекціонер ;
8112 ;13106 ;;5 ;Концентраторник ;
2453.2;;;;Концертмейстер (вокалу, хору, оркестру, оркестрової групи, ансамблю, балету, хореографічного колективу);
3473 ;;;;Концертмейстер (з дипломом фахового молодшого бакалавра) ;
2320;;;;Концертмейстер мистецького ліцею (мистецької школи);
9332 ;13108 ;;2 ;Конюх ;
6121 ;12909 ;;2 ;Коняр ;
7344 ;13110 ;20 ;;Координатографіст прецизійної фотолітографії ;
1229.1;;;;Координатор упровадження реформ;
3479;;;;Координатор знімального процесу;
7343 ;;;;Копіювальник друкарських форм ;
7346 ;13117 ;47 ;;Копіювальник малюнків та карт ;
3118 ;23118 ;;1 ;Копіювальник технічної документації ;
8224 ;13119 ;34 ;;Копіювальник фільмових матеріалів ;
9322 ;13113 ;;13 ;Копіювальник ;
7221 ;13123 ;;40 ;Копрівник з оброблення брухту та відходів металу ;
8332 ;13121 ;;64 ;Копрівник ;
8272 ;13125 ;;8 ;Коптильник ковбасного сиру ;
3152 ;;;;Корабельний інженер порту ;
4143 ;;;;Коректор (коригування морських карт і посібників для плавання) ;
4143 ;23121 ;;1, 18 ;Коректор (коригування текстів) ;
7341 ;13134 ;59 ;;Коректор (переддрукарські процеси поліграфічного виробництва) ;
3118 ;;;;Коректор морських карт і посібників для плавання ;
8223 ;13131 ;;42 ;Коректувальник ванн ;
8139 ;13132 ;;40 ;Коректувальник шламу ;
2451.2 ;23124 ;;18, 83 ;Кореспондент ;
9311 ;13136 ;;5 ;Корчувальник ;
5141 ;13138 ;- ;;Косметик ;
2149.1 ;- ;- ;;Космонавт-дослідник ;
7435 ;13140 ;;84 ;Костюмер ;
7214 ;13146 ;;56 ;Котельник судновий ;
7214 ;13144 ;;42 ;Котельник ;
8162 ;13148 ;;1 ;Котлочистильник ;
8340 ;13156 ;73 ;;Кочегар судна ;
8212 ;13158 ;;35 ;Кочегар сушильних барабанів ;
8163 ;13160 ;44 ;;Кочегар сушильних печей та барабанів ;
8162 ;13162 ;;1 ;Кочегар технологічних печей ;
8139 ;13150 ;;37 ;Кочегар-випалювач ;
3112 ;;;;Кошторисник ;
7433 ;16909 ;;13 ;Кравець ;
3141 ;23133 ;;67 ;Кранмейстер ;
8340 ;13168 ;73 ;;Крановий електрик ;
4214 ;;;;Кредитор ;
3118 ;25284 ;;1 ;Кресляр ;
3118 ;25287 ;- ;;Кресляр-конструктор ;
2442.2 ;- ;- ;;Кримінолог ;
2113.2 ;;;;Кристалограф ;
7442 ;13195 ;48 ;;Кріпильник деталей ;
8221 ;13197 ;31 ;;Кріпильник мандрен ;
7111 ;13193 ;;64, 5 ;Кріпильник ;
6121 ;13205 ;;2 ;Кролівник ;
4213 ;- ;;5* ;Круп'є ;
3119 ;23139 ;;11 ;Круп'яр ;
8269 ;13213 ;;45 ;Крутильник джгутів ;
8261 ;13215 ;47 ;;Крутильник сіткаря ;
8269 ;13217 ;47 ;;Крутильник шнурів ;
9322 ;13211 ;47 ;;Крутильник ;
9132 ;13219 ;;1 ;Кубівник ;
7412 ;13235 ;;7 ;Кулінар борошняних виробів ;
7411 ;13233 ;;10 ;Кулінар виробів з риби та морепродуктів ;
3310 ;;;;Культорганізатор закладу позашкільної освіти;
7413 ;13237 ;70 ;;Кумисороб ;
8274 ;13241 ;55 ;;Купажник пектинового екстракту ;
7416 ;13243 ;;11 ;Купажник тютюнів ;
7415 ;13245 ;;11 ;Купажник чаю ;
7415 ;13239 ;;11 ;Купажник ;
1210.1;;;;Куратор банку;
9151 ;13247 ;;1 ;Кур'єр ;
5122 ;16677 ;;65 ;Кухар дитячого харчування ;
5122 ;;;67 ;Кухар судновий ;
5122 ;16675 ;;65 ;Кухар ;
5122 ;;;;Кухар-матрос ;
5122 ;;;;Кухар-стюард ;
9132 ;13249 ;;65 ;Кухонний робітник ;
7439 ;;;;Кушнір ;
7434 ;18435 ;48 ;;Кушнір-обробник ;
7434 ;18437 ;48 ;;Кушнір-розкрійник ;
7434 ;18433 ;48 ;;Кушнір-складальник ;
3211 ;23157 ;- ;;Лаборант (біологічні дослідження) ;
3212 ;;;;Лаборант (ветеринарна медицина) ;
3119 ;23157 ;- ;;Лаборант (галузі техніки) ;
3221 ;23157 ;;78 ;Лаборант (медицина) ;
8220 ;;;;Лаборант (оптичні методи) ;
3340 ;;;;Лаборант (освіта) ;
3228 ;23157 ;;78 ;Лаборант (фармація) ;
3111 ;23157 ;- ;;Лаборант (хімічні та фізичні дослідження) ;
8112 ;13255 ;;5 ;Лаборант азбестозбагачувального виробництва ;
8112 ;;;35 ;Лаборант волокнистоцементного виробництва;
8221 ;13308 ;;25 ;Лаборант виробництва бактерійних препаратів ;
7241 ;13324 ;;1 ;Лаборант електромеханічних випробувань та вимірювань ;
8229 ;13271 ;;1 ;Лаборант з аналізу газів та пилу ;
8121 ;13269 ;;1 ;Лаборант з аналізу газів у металах ;
7431 ;13273 ;47 ;;Лаборант з аналізу коконів ;
8229 ;13275 ;;1 ;Лаборант з аналізу люмінофорів ;
8121 ;13276 ;;1 ;Лаборант з аналізу формувальних та шихтових сумішей ;
3111;;;;Лаборант з безпеки та якості будівельної продукції;
7311;;;;Лаборант з випробування зброї ракетної;
8221 ;13278 ;31 ;;Лаборант з вирощування медичних п'явок ;
6123 ;13280 ;;2 ;Лаборант з гренажу ;
7241 ;13304 ;;1 ;Лаборант з електроізоляційних матеріалів ;
8284 ;13293 ;;49 ;Лаборант з оброблення аерофотоплівок ;
7242 ;13301 ;;1 ;Лаборант з ультразвукової техніки ;
7241 ;13302 ;;1 ;Лаборант з фізико-механічних випробувань ;
8159;;;;Лаборант із спеціального палива;
8131 ;13261 ;;1 ;Лаборант лабораторії штучного старіння скловиробів ;
8229 ;13267 ;;1 ;Лаборант мінералогічного аналізу ;
3491 ;;;;Лаборант наукового підрозділу (інші сфери (галузі) наукових досліджень) ;
8121 ;13306 ;;1 ;Лаборант пробірного аналізу ;
7243 ;13312 ;;1 ;Лаборант рентгеноспектрального аналізу ;
8121 ;13317 ;;1 ;Лаборант спектрального аналізу ;
8159;;;;Лаборант спеціальних хімічних покриттів;
8159;;;;Лаборант фізико-хімічного аналізу вибухонебезпечної сировини, напівфабрикатів та продукції (спеціальні хімічні виробництва);
8229 ;13319 ;;1 ;Лаборант хіміко-бактеріологічного аналізу ;
8159 ;13321 ;;1 ;Лаборант хімічного аналізу ;
7243 ;13322 ;;1 ;Лаборант-електроакустик ;
9311 ;13257 ;;6 ;Лаборант-колектор ;
8229 ;13259 ;;1 ;Лаборант-кристалооптик ;
8121 ;13263 ;;1 ;Лаборант-металограф ;
8229 ;13265 ;;1, 25 ;Лаборант-мікробіолог ;
8229 ;13289 ;;1 ;Лаборант-полярографіст ;
7241 ;13310 ;;1 ;Лаборант-радіометрист ;
8159;;;;Лаборант-рахівник на спеціальних пневматичних гідростендах;
8283 ;13313 ;;1 ;Лаборант-рентгеноструктурник ;
7344 ;13315 ;;1 ;Лаборант-сенситометрист ;
9322 ;13326 ;;47 ;Лаглінник ;
8141 ;16923 ;;16 ;Лагодильник шпону й фанери ;
8212 ;13353 ;43 ;;Лаковар ;
9322 ;13330 ;60 ;;Лакувальник глобусів ;
7311 ;13332 ;;50 ;Лакувальник деталей годинників ;
8152 ;13351 ;;45 ;Лакувальник електроізоляційних виробів та матеріалів ;
8223 ;13334 ;;42 ;Лакувальник жерсті й труб ;
7322 ;13338 ;;49 ;Лакувальник оптичних деталей ;
7142 ;13341 ;65 ;;Лакувальник підносів ;
8152 ;13343 ;;45 ;Лакувальник проводів та кабелів ;
8223 ;13345 ;;53 ;Лакувальник туб ;
9322 ;13348 ;44 ;;Лакувальник форм ;
7141 ;13350 ;65 ;;Лакувальник художніх виробів ;
7441 ;13336 ;48 ;;Лакувальник шкір ;
8229 ;13328 ;24 ;;Лакувальник ;
8229;;;;Лакувальник-фарбувальник (спеціальні хімічні виробництва);
8139 ;13415 ;;37 ;Ламач поду ;
9322 ;13357 ;;5 ;Лампівник ;
8221 ;13359 ;55 ;;Ланолінник ;
9322 ;19537 ;;44 ;Ланцюговиробник ;
7215 ;19536 ;;44 ;Ланцюгов'язальник ;
8331 ;- ;;3 ;Лебідник на лісозаготівлях ;
8333 ;13361 ;;1 ;Лебідник ;
2359.2 ;23160 ;;81, 84 ;Лектор ;
8122 ;13384 ;;42 ;Ливарник вакуумного, відцентрово-вакуумного й відцентрового лиття ;
8122 ;13388 ;;45 ;Ливарник виробів із свинцевих сплавів ;
8131 ;13386 ;45 ;;Ливарник гіпсових форм ;
8131 ;13411 ;45 ;;Ливарник електрокерамічних виробів ;
8152 ;13390 ;30 ;;Ливарник каталізатора ;
8122 ;13410 ;;41 ;Ливарник кольорових металів ;
8122 ;13392 ;;42 ;Ливарник металів та сплавів ;
8122 ;13394 ;;42 ;Ливарник методом спрямованої кристалізації ;
8122 ;13395 ;;42 ;Ливарник на машинах для лиття під тиском ;
8131 ;13397 ;;34 ;Ливарник облицювальних плиток ;
8232 ;13399 ;27 ;;Ливарник пластмас ;
7311 ;13401 ;20 ;;Ливарник радіокераміки та феритів ;
8131 ;13403 ;;34 ;Ливарник санітарно-будівельних виробів на конвеєрі ;
8131 ;13404 ;;34 ;Ливарник санітарно-будівельних виробів на стенді ;
8131 ;13406 ;44 ;;Ливарник скла ;
8130 ;;;;Ливарник у виробництві неметалевих виробів ;
8122 ;13408 ;65 ;;Ливарник художніх виробів ;
8122 ;13382 ;7 ;;Листобійник ;
4142 ;16925 ;;70 ;Листоноша (поштар) ;
4214 ;- ;- ;;Лихвар ;
7139;;;;Лицювальник (будівельний);
7312 ;15218 ;;59 ;Лицювальник музичних інструментів ;
7132 ;15224 ;;64 ;Лицювальник синтетичними матеріалами ;
7132 ;15216 ;;64 ;Лицювальник-мармурник ;
7132 ;15214 ;;64 ;Лицювальник-мозаїст ;
7132 ;;;64 ;Лицювальник-плиточник ;
7132 ;15222 ;;64 ;Лицювальник-полірувальник ;
7422 ;15212 ;;57 ;Личкувальник деталей меблів ;
2223.2;;;;Лікар ветеринарної медицини з безпеки та якості сільськогосподарських і харчових продуктів;
2223.2;;;;Лікар ветеринарної медицини з біотехнології;
2223.2;;;;Лікар ветеринарної медицини з гігієни та санітарії;
2223.2;;;;Лікар ветеринарної медицини з лабораторної діагностики;
2223.2;;;;Лікар ветеринарної медицини з фармації;
2223.2;;;;Лікар ветеринарної медицини із громадського здоров’я;
2223.2 ;;;;Лікар ветеринарної медицини м'ясопереробних підприємств ;
2223.2 ;20323 ;- ;;Лікар ветеринарної медицини ;
2221.2;;;78;Лікар внутрішньої медицини;
2221.2 ;20333 ;- ;;Лікар гірничорятувальної частини ;
2221.2 ;- ;;78 ;Лікар з авіаційної медицини ;
2225.2 ;- ;;78 ;Лікар з гігієни дітей та підлітків ;
2225.2 ;- ;;78 ;Лікар з гігієни праці ;
2225.2 ;- ;;78 ;Лікар з гігієни харчування ;
2225.2 ;- ;;78 ;Лікар з комунальної гігієни ;
2229.2 ;- ;;78 ;Лікар з лікувальної фізкультури та спортивної медицини ;
2229.2 ;;;78 ;Лікар з лікувальної фізкультури ;
2221.2;;;78;Лікар з медицини невідкладних станів;
2221.2 ;- ;;78 ;Лікар з народної та нетрадиційної медицини ;
2221.2 ;;;78 ;Лікар з радіаційної онкології ;
2225.2 ;- ;;78 ;Лікар з радіаційної гігієни ;
2221.2 ;;;78 ;Лікар з ядерної медицини ;
2221.2 ;- ;;78 ;Лікар з ультразвукової діагностики ;
2229.2 ;20514 ;;78 ;Лікар з функціональної діагностики ;
2221.2 ;- ;;78 ;Лікар загальної практики - сімейний лікар ;
2229.2 ;;;78 ;Лікар зі спортивної медицини ;
3225 ;20347 ;;78 ;Лікар зубний ;
2225.2 ;- ;;78 ;Лікар із загальної гігієни ;
2221.2 ;20397 ;- ;;Лікар підводного апарата ;
2221.2 ;20408 ;;78 ;Лікар приймальної палати (відділення) ;
2221.2 ;20344 ;;78 ;Лікар пункту охорони здоров'я ;
2221.2 ;20424 ;- ;;Лікар роз'їзний (лінійний) на залізничному транспорті ;
2229.2 ;- ;- ;;Лікар спортивний (збірної чи клубної команди) ;
2221.2 ;- ;;78 ;Лікар судновий ;
2229.2;;;78;Лікар судово-медичний експерт;
2229.2;;;78;Лікар судово-медичний експерт-гістолог;
2229.2;;;78;Лікар судово-медичний експерт-імунолог;
2229.2;;;78;Лікар судово-медичний експерт-криміналіст;
2229.2;;;78;Лікар судово-медичний експерт-токсиколог;
2229.2;;;78;Лікар судово-медичний експерт-цитолог;
2221.2;;;;Лікар фізичної та реабілітаційної медицини;
2221.2 ;20311 ;;78 ;Лікар ;
2221.2 ;20314 ;;78 ;Лікар-акушер-гінеколог ;
2221.2 ;20315 ;;78 ;Лікар-алерголог ;
2221.2 ;- ;;78 ;Лікар-анестезіолог ;
2225.2 ;20320 ;;78 ;Лікар-бактеріолог ;
2225.2 ;20326 ;;78 ;Лікар-вірусолог ;
2221.2 ;20329 ;;78 ;Лікар-гастроентеролог ;
2221.2 ;20332 ;;78 ;Лікар-гематолог ;
2221.2;;;;Лікар-гематолог-онколог дитячий;
2221.2 ;- ;;78 ;Лікар-генетик ;
2221.2 ;- ;;78 ;Лікар-геріатр ;
2221.2 ;;;78 ;Лікар-гінеколог дитячого та підліткового віку ;
2221.2 ;;;78 ;Лікар-гінеколог-онколог ;
2225.2 ;20335 ;;78 ;Лікар-дезінфекціоніст ;
2221.2 ;20338 ;;78 ;Лікар-дерматовенеролог ;
2229.2 ;20341 ;;78 ;Лікар-дієтолог ;
2221.2 ;20520 ;;78 ;Лікар-ендокринолог ;
2229.2 ;20521 ;;78 ;Лікар-ендоскопіст ;
2225.2 ;20523 ;;78 ;Лікар-епідеміолог ;
2221.2 ;- ;;78 ;Лікар-імунолог ;
3229 ;20353 ;;78 ;Лікар-інтерн ;
2221.2 ;20356 ;;78 ;Лікар-інфекціоніст ;
2221.2 ;;;;Лікар-кардіолог дитячий;
2221.2 ;;;;Лікар-кардіолог електрофізіолог;
2221.2 ;;;;Лікар-кардіолог інтервенційний;
2221.2 ;- ;;78 ;Лікар-кардіолог ;
2221.2 ;- ;;78 ;Лікар-кардіоревматолог дитячий ;
2221.2 ;- ;;78 ;Лікар-комбустіолог ;
2229.2 ;;;78 ;Лікар-лаборант з клінічної біохімії ;
2229.2 ;20362 ;;78 ;Лікар-лаборант ;
2229.2 ;;;78 ;Лікар-лаборант-генетик ;
2229.2 ;;;78 ;Лікар-лаборант-гігієніст з дослідження фізичних факторів навколишнього середовища ;
2229.2 ;;;78 ;Лікар-лаборант-гігієніст з дослідження хімічних факторів навколишнього середовища ;
2229.2 ;;;78 ;Лікар-лаборант-гігієніст ;
2229.2 ;;;78 ;Лікар-лаборант-імунолог ;
2221.2 ;20365 ;;78 ;Лікар-методист ;
2225.2 ;;;78 ;Лікар-мікробіолог-вірусолог ;
2221.2 ;20366 ;;78 ;Лікар-нарколог ;
2221.2 ;- ;;78 ;Лікар-невролог дитячий ;
2221.2 ;;;78 ;Лікар-невролог ;
2221.2 ;;;;Лікар-нейрофізіолог ;
2221.2 ;20374 ;;78 ;Лікар-нейрохірург ;
2221.2 ;- ;;78 ;Лікар-нефролог ;
2221.2 ;20377 ;;78 ;Лікар-онколог ;
2221.2 ;- ;;78 ;Лікар-ортопед-травматолог ;
